id;username;uuid;courseID;splits;date
15;fowwo;419d1977-7429-4d4a-ae0b-51691854d707;0;2900,7750,11700,15150,21600;1595021798000
16;fowwo;419d1977-7429-4d4a-ae0b-51691854d707;0;2900,7750,11500,14800,21100;1595042671000
17;fowwo;419d1977-7429-4d4a-ae0b-51691854d707;0;2800,7550,11250,14650,20800;1595288057000
18;fowwo;419d1977-7429-4d4a-ae0b-51691854d707;0;2850,7650,11200,14900,21150;1595448182000
19;fowwo;419d1977-7429-4d4a-ae0b-51691854d707;0;2850,7700,11350,14700,20950;1595448412000
20;fowwo;419d1977-7429-4d4a-ae0b-51691854d707;0;2900,7750,11400,14600,20800;1595449409000
21;fowwo;419d1977-7429-4d4a-ae0b-51691854d707;0;2750,7500,11150,14450,20550;1595545305340
22;fowwo;419d1977-7429-4d4a-ae0b-51691854d707;0;2800,7550,11150,14550,20850;1595565970014
23;fowwo;419d1977-7429-4d4a-ae0b-51691854d707;0;2800,7550,11200,14400,20600;1595566192963
24;fowwo;419d1977-7429-4d4a-ae0b-51691854d707;0;2800,7600,11150,14500,20900;1595566333879
25;fowwo;419d1977-7429-4d4a-ae0b-51691854d707;0;2800,7600,11100,14350,20650;1595567434881
26;fowwo;419d1977-7429-4d4a-ae0b-51691854d707;0;2800,7600,11300,14450,20700;1595567547622
27;fowwo;419d1977-7429-4d4a-ae0b-51691854d707;0;2750,7550,11100,14350,20550;1595567712320
28;fowwo;419d1977-7429-4d4a-ae0b-51691854d707;0;2750,7450,11100,14450,20700;1595567933670
